name,Brand,MrpDecimal,salePriceDecimal,discountDecimal,discountPercent
Everherb (by Pharmeasy) Jointcare - Blend Of 9 Powerful Herbs - Joint & Bone Health - Bottle Of 60 Tablets,EVERHERB,999.00,519.48,479.52,48
Carbamide Forte Calcium With Magnesium Zinc Vitamin D K2 & B12 60 Tablets,CARBAMIDE FORTE,499.00,424.15,74.85,15
Carbamide Forte Biotin 10000mcg 60 Tablets,CARBAMIDE FORTE,500.00,425.00,75.00,15
"Wellbeing Nutrition Daily Greens Wholefood Multivitamin For Detox, Alkalizing & Weight Management 15 Tabs(pack Of 1)",WELLBEING NUTRITION,590.00,377.60,212.40,36
Liveasy Wellness Daily Protein - Provides Energy & Vitality - Jar Of 400 Gram,LIVEASY,899.00,494.45,404.55,45
"Pharmeasy Iron+folic Acid With Zinc, Vitamin C &b12 - Maintains Overall Health - Bottle Of 60",PHARMEASY,599.00,299.50,299.50,50
"Scitron Cla Core + Mct (weight Management, Energy, Cla - 800 Mg, Mct - 200 Mg) - 90 Veg Capsules",SCITRON,999.00,999.00,,0
"Scitron Test High Def (men's Health, Free Testosterone Levels, Vitality & Strength), 90 Veg Capsules",SCITRON,2499.00,2499.00,,0
"Scitron Caffeine (energy Boost, Mental Focus, Longer Workout, 200mg Caffeine) - 100 Capsules",SCITRON,1299.00,1299.00,,0
"Scitron Tribulus Terrestris ( Men's Health - Boost Testosterone, Vitality, Strength)|90 Veg Capsules",SCITRON,1499.00,1499.00,,0
Scitron Multi Men Daily Multi-vitamin Formula (32 Vitamins & Minerals) - 60 Tablets,SCITRON,1399.00,1399.00,,0
"Scitron Test One (men's Health, Testosterone Health, Vitality & Strength Management)|90 Veg Capsules",SCITRON,1999.00,1999.00,,0
Liveasy Wellness Joint Support - Maintains Joints Mobility - Bone & Joint Health - Bottle Of 60,LIVEASY,799.00,399.50,399.50,50
Unived Pcos Fertility - 60 Capsules,UNIVED,1850.00,1776.00,74.00,4
Sheneed Prenatal Vitamins Supplements - 60 Tablets,SHENEED,400.00,340.00,60.00,15
Rooted Actives - Maca Root + Reishi Mushroom 2250mg* - 90 Veg Capsules,ROOTED ACTIVE NATURALS,1285.00,1092.25,192.75,15
Boldfit Probiotics Supplement 30 Billion Cfu For Men And Women -60 Veg Capsules,BOLDFIT,1399.00,1329.05,69.95,5
Boldfit Fish Oil Omega 3 Capsules For Men And Women Triple - 60 Softgels,BOLDFIT,699.00,664.05,34.95,5
Carbamide Forte Omega 3 1000mg With Veg Dha - 60 Veg Tablets,CARBAMIDE FORTE,675.00,641.25,33.75,5
Ourdaily Ashwagandha -daily Ashwagandha Supplement Immunity And Stress Relief-60 Tablets,OURDAILY,169.00,84.50,84.50,50
Truebasics Glutathione Supplement 30 Capsules,TRUEBASICS,1399.00,1329.05,69.95,5
Healthbest Haemobest Capsules Iron Supplement | Increases Hemoglobin |1 Bottle (60 Capsule),HEALTHBEST,600.00,570.00,30.00,5
Musclexp Multivitamin Men Daily Sports With 47 Nutrients - 60 Tablets,MUSCLEXP,999.00,549.45,449.55,45
Carbamide Forte Multivitamin Jellies For Immunity-60 Gummies,CARBAMIDE FORTE,550.00,522.50,27.50,5
Gnc Mega Men Sport Multivitamin 120 Tablets,GNC,2399.00,1799.25,599.75,25
Briyo Supplements- Daily Multivitamins & Minerals + Ginseng - 1x(60 Softgels),BRIYO,490.00,426.30,63.70,13
Carbamide Forte Vitamin E 400mg Capsules- 120 Capsules,CARBAMIDE FORTE,599.00,371.38,227.62,38
Zingavita Garcinia Cambogia Weight Loss Supplement Sugar Free 60 Veg Tablets,ZINGAVITA,699.00,664.05,34.95,5
Unived Menopause Management Hot Flashes Night Sweats Mood Swings - 60 Capsules,UNIVED,1250.00,1187.50,62.50,5
Carbamide Forte Biotin With Sasbania Grandiflora Extract Amla Extract-90 Tablets,CARBAMIDE FORTE,795.00,445.20,349.80,44
Carbamide Forte Vitamin E 600mg For Face Hair 100% Natural Vitamin E-60 Capsules,CARBAMIDE FORTE,599.00,509.15,89.85,15
Carbamide Forte Multivitamin With Probiotics & Ashwagandha- 180 Tablets,CARBAMIDE FORTE,850.00,807.50,42.50,5
Inlife Multivitamins & Minerals Amino Acids Antioxidants With Ginseng Extract For Men 60 Capsules,INLIFE,699.00,664.05,34.95,5
Healthvit L-glutathione 250mg Skin Whitening Supplement Capsules Bottle Of 60,HEALTHVIT,2000.00,1840.00,160.00,8
Supermeds Multivitamin Men 50+ 60cap,SUPERMEDS,699.00,559.20,139.80,20
Centrum Men|supports Overall Health (veg) | World's No.1 Multivitamin (50 Tablets),CENTRUM,710.00,674.50,35.50,5
Zingavita Women Immunity Booster Vitamin C Zinc Sugar Free 20 Fizzy Tablets,ZINGAVITA,399.00,339.15,59.85,15
Rooted Actives- Lions Mane Mushroom Extract 1950mg* - Pure Fruit Body Extract - 120 Veg Capsules,ROOTED ACTIVE NATURALS,1470.00,1249.50,220.50,15
Healthkart Hk Vitals Multivitamin With Probiotics Health Supplement 60 Tablets,HEALTHKART,499.00,474.05,24.95,5
Carbamide Forte Triple Strength Omega 3 - Fish Oil 1400mg- 30 Capsules,CARBAMIDE FORTE,500.00,425.00,75.00,15
Unived Wholefood Multivitamin For Men - 60 Capsules,UNIVED,1200.00,1140.00,60.00,5
Unived Ksm-66 Ashwagandha For Stress Anxiety Endurance & Strength - 60 Caps,UNIVED,1000.00,950.00,50.00,5
Carbamide Forte Chelated Magnesium Glycinate 2408mg Supplement - Better Sleep - 60 Tablets,CARBAMIDE FORTE,625.00,531.25,93.75,15
Carbamide Forte Multivitamin With Probiotics For Women-60 Tablets,CARBAMIDE FORTE,575.00,546.25,28.75,5
Carbamide Forte Vitamin D3+k2 - Mk7- 120 Veg Tablets,CARBAMIDE FORTE,650.00,617.50,32.50,5
Liveasy Wellness Biotin 10000mcg With Calcium - Prevents Hair Fall - Bottle Of 60,LIVEASY,999.00,549.45,449.55,45
Carbamide Forte Biotin From Sasbania Grandiflora Extract Gummies- 30 Gummies,CARBAMIDE FORTE,625.00,593.75,31.25,5
Dabur Giloy Juice - 1 Litre,DABUR,270.00,270.00,,0
Liveasy Ortho Care Ankle Support - Prevents Swelling - Boosts Performance - Size Medium,LIVEASY,299.00,254.15,44.85,15
Pharmeasy Biotin 10000mcg With Calcium - Prevents Hair Fall - Bottle Of 120,PHARMEASY,1299.00,714.45,584.55,45
Carbamide Forte Hydrolyzed Collagen Powder Collagen Peptides | Unflavored 200g,CARBAMIDE FORTE,1500.00,900.00,600.00,40
Holistic Ashwagandha - Supplement For Strength And Stamina 60 Tablets,HOLISTIC,450.00,427.50,22.50,5
Dr. Morepen Multivitamins For Men With Omega 3 & Herbs - 60 Veg Tablets,DR. MOREPEN,999.00,899.10,99.90,10
Zingavita Daily Multivitamins For Women Sugar Free 20 Fizzy Effervescent Tablets,ZINGAVITA,399.00,339.15,59.85,15
Carbamide Forte Testosterone Supplement Tribulus Terrestris 1000mg 60 Tablets,CARBAMIDE FORTE,750.00,712.50,37.50,5
Unived Menopause Management Hot Flashes Night Sweats Mood Swings - 60 Capsules,UNIVED,1250.00,1187.50,62.50,5
"Ferradol Health And Food Supplement With Iron, Vitamins, Calcium And Zinc -450gm",FERRADOL,313.50,282.15,31.35,10
Ferradol Food Supplement-200g,FERRADOL,152.90,129.96,22.94,15
Rooted Actives - Chaga Mushroom Extract 1950mg* - Pure Fruit Body Extract - 120 Veg Capsules,ROOTED ACTIVE NATURALS,1735.00,1474.75,260.25,15
Rooted Actives - Maca Root 2250mg - 90 Veg Caps,ROOTED ACTIVE NATURALS,1235.00,1173.25,61.75,5
Holo Oncolis - 60 Tablets,HOLO,1980.00,1683.00,297.00,15
Boldfit Testosterone Supplement For Men - 60 Veg Tablets,BOLDFIT,699.00,664.05,34.95,5
Rooted Actives - Reishi Mushroom Extract 1950mg* - Pure Fruit Body Extract - 120 Veg Capsules,ROOTED ACTIVE NATURALS,1235.00,1049.75,185.25,15
Truebasics Multivit Sport Supplement 30 Tablets,TRUEBASICS,649.00,616.55,32.45,5
Boldfit Sleeping Aid Pills For Deep Sleep Melatonin 5mg - 60 Veg Tablets,BOLDFIT,499.00,474.05,24.95,5
Roncuvita Multivitamin For Men - 1 Jar (60 Tablets),RONCUVITA,2499.00,2374.05,124.95,5
Boldfit Melatonin 10mg For Men & Women - 60 Veg Tablets,BOLDFIT,699.00,664.05,34.95,5
Supermeds Multivitamin Men 60cap,SUPERMEDS,699.00,559.20,139.80,20
Unived Pms Management Mango Flavor Period Relief Women's Supplement - 14 Servings,UNIVED,800.00,760.00,40.00,5
Healthkart Hk-vitals Multivitamin Supplements 90 Tablets,HEALTHKART,650.00,617.50,32.50,5
Nutriburst Weight Management With Turmeric Curcumin Gummies Natural Ginger 60 Gummies (pack Of 2),NUTRIBURST,2998.00,1648.90,1349.10,45
Wow Life Science Magnesium Citrate 500 Mg - 60 Vegetarian Capsules,WOW,699.00,671.04,27.96,4
Power Gummies Jaw Dropping Gummies For Skin With Vitamin C - 60 Gummies,POWER GUMMIES,1300.00,1300.00,,0
Carbamide Forte Vitamin C With Amla Extract 1000mg With Zinc-60tablets,CARBAMIDE FORTE,675.00,573.75,101.25,15
Swisse Ultiboost Iron Supplement With Vitamin C Vitamin B6 & Vitamin B12 -30 Tablets,SWISSE,949.00,692.77,256.23,27
Carbamide Forte Extra Virgin Cold Pressed Coconut Oil For Coastal Andhra 200ml,CARBAMIDE FORTE,250.00,212.50,37.50,15
Sheneed Prenatal Vitamins Supplements - 60 Tablets,SHENEED,400.00,340.00,60.00,15
Zingavita Multivitamin For Men 50+ With Vitamins Minerals & Herbs 120 Tablets,ZINGAVITA,999.00,949.05,49.95,5
Briyo Supplements- Orthomax -calcium + Vitamin D3 Dietary Supplement For Bone & Joint -60 Softgels,BRIYO,499.00,499.00,,0
Briyosis Coenzyme Q10 (coq10) 200 Mg - 60 Softgels - For Heart Health And Cellular Energy Production,BRIYOSIS,1175.00,1175.00,,0
Briyo Garlic Oil Softgels - Dietary Supplement For Good Immunity - 1 X (60 Softgels),BRIYO,360.00,360.00,,0
Rooted Actives- Turkey Tail Mushroom Extract 1950mg* -pure Fruit Body Extract - 120 Veg Caps,ROOTED ACTIVE NATURALS,1350.00,553.50,796.50,59
Zandu Pure Honey Squeasy - 225g (1+1),ZANDU,185.00,175.75,9.25,5
Hk Vitals Zinc Complex Supplement 60 Tablet(s),HEALTHKART,599.00,569.05,29.95,5
Carbamide Forte Multivitamin For Men 67 Ingredients 13 Vital Blends 60 Tablets,CARBAMIDE FORTE,675.00,641.25,33.75,5
Swisse Ultiboost Grape Seed Supplement With Vitamin C For Healthy Skin - 60 Tablets,SWISSE,1149.00,838.77,310.23,27
Healthvit Cenvitan Men 50+ Multivitamins And Multimineral 60 Tablets,HEALTHVIT,500.00,475.00,25.00,5
Carbamide Forte Melatonin 10mg With Tagar 250mg & Vitamin B6 - 60 Veg Tablets,CARBAMIDE FORTE,625.00,512.50,112.50,18
